scenario_id,sector,issue_type,scenario_name,asset_types,failure_modes,causes,states,impacts,location_patterns,time_expressions,urgency_expressions,agency_candidates,responsible_party_hints,hitl_triggers,hard_negative_near_misses,required_evidence,forbidden_combinations,dialect_notes,example_complaints,coverage_status
CFS-0085,TELECOM,cabinet_damage,telecom cabinet damaged/open,cabinet; box Ogero; khat,mfatou7; mksour; wires baynin,unknown; citizen-observed failure,vandalism; accident; missing cover,service outage; safety/asset risk,3al rasif; 7ad l bineye; 2oddem l dekken,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO; MUN,public agency depends on asset and location,telecom cabinet vs electrical box,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,box Ogero mfatou7 3al rasif; cabinet l internet mksour; wires l telephone baynin barra,seed
CFS-0086,TELECOM,neighborhood_outage,whole area fixed internet down,net; Ogero; exchange; 7ay,2ate3 3al manta2a; ma fi service,unknown; citizen-observed failure,exchange fault; fiber cut; power issue,many reports; business impact,bel 7ay; bel manta2a; 3al khat,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO,public agency depends on asset and location,requires multiple reports or Ogero confirmation,private-only issue; unrelated app/file/password/order context,GPS; repeated reports; provider/ticket info,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,kel l 7ay ma fi net Ogero; l manta2a kella internet 2ate3; aktar men bineye 3anna nafs l moshkle,strong
CFS-0087,TELECOM,ogero_ticket_no_response,Ogero ticket follow-up,ticket; Ogero; 1515; shakwa,ma 7ada radd; ma ejjo; open ticket,unknown; citizen-observed failure,service delay; unresolved repair,citizen follow-up; escalation needed,3al telephone; online; bel bayt,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO,public agency depends on asset and location,administrative follow-up vs active outage,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fat7na ticket Ogero w ma 7ada radd; 1515 2aloulna yjo w ma ejjo; Ogero ma zabbat l khat ba3d l shakwa,seed
CFS-0088,TELECOM,router_sync_issue,router loses sync but public line possible,router; DSL light; line; Ogero,m3alla2; DSL light off; ma byesna3 sync,unknown; citizen-observed failure,line fault; private router fault,internet outage,bel bayt; 3al khat; 3and l router,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO; UNKNOWN,public agency depends on asset and location,private router vs Ogero line,router password; wifi name; private device config,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,DSL light off 3al router; l router ma 3am ya3mel sync; khat Ogero shaklo 2ate3 mesh router,seed
CFS-0089,TELECOM,mobile_network_boundary,mobile network complaint not Ogero,mobile data; Alfa; Touch; signal,ma fi signal; data 2at3a; weak coverage,unknown; citizen-observed failure,mobile operator issue,not fixed Ogero; HITL or unsupported,bel 7ay; bel manta2a; 3al mobile,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,UNKNOWN,public agency depends on asset and location,mobile operator/MOT not Ogero,phone device issue; SIM problem; app issue,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ma fi signal Touch bel 7ay; mobile data 2at3a; Alfa signal da3if 3anna,edge_case
CFS-0090,TELECOM,line_noise_or_crackling,telephone line noisy,telephone; khat; noise,tashwish; sot gharib; crackling,unknown; citizen-observed failure,line quality; wiring issue,calls fail; DSL unstable,bel bayt; bel 7ay; 3al khat,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO; UNKNOWN,public agency depends on asset and location,internal wiring vs Ogero line,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi tashwish 3al telephone; khat Ogero sot gharib; l line byeshwesh w l net by2ta3,seed
CFS-0091,TELECOM,pole_or_wire_telecom,telecom wire fallen,wire telephone; cable net; 3amoud,nazil; ma2tou3; 3al ard,unknown; citizen-observed failure,storm; road works,service outage; sidewalk hazard,3al rasif; 3al tari2; 7ad l cabinet,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO; MUN,public agency depends on asset and location,telecom vs electric wire safety,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,wire telephone nazil 3al rasif; cable net ma2tou3 7ad l 3amoud; fi cable Ogero 3al ard,seed
CFS-0092,TELECOM,public_institution_connectivity,public facility Ogero outage,internet; Ogero; baladiye; school; dispensary,2ate3; ma fi net; line dead,unknown; citizen-observed failure,fixed line fault,public service disruption,bel baladiye; bel dispensary; 2oddem l school,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO; MUN,public agency depends on asset and location,public facility owner and provider,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,net l baladiye 2ate3 w ma 3am nemshe l mo3amalat; internet l dispensary Ogero wa2ef; line l school ma 3am yeshteghil,seed
CFS-0093,TELECOM,roadworks_cut_telecom,road works cut telecom line,warsha; cable; fiber; DSL,ma2tou3; nkasar; nshal,unknown; citizen-observed failure,road digging; contractor,area outage; service delay,3al tari2; 7ad l warsha; 2oddem l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO; MUN; MPWT; CDR,public agency depends on asset and location,utility cut and contractor/road owner,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ba3d l 7afriyet l fiber 2ate3; warsha l tari2 nashalet cable l net; men wa2et l works l DSL ma 3am yeshteghil,seed
CFS-0094,TELECOM,billing_or_subscription_boundary,telecom billing/subscription confusion,fatoura Ogero; ishtirak; Ogero; ISP,ghalta; ma tfa3al; ma raddo,unknown; citizen-observed failure,fatoura ghalta; provider issue,needs service follow-up not infrastructure incident,online; 1515; maktab Ogero,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,OGERO; UNKNOWN,public agency depends on asset and location,billing/account vs infrastructure fault,private ISP invoice; app payment issue,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fatoura Ogero ghalta w ma 7ada radd; ishtirak l internet ma tfa3al; ISP 2al l moshkle men Ogero,edge_case
CFS-0095,TELECOM,private_router_hard_boundary,private router likely not public,router; wifi; password; cable,m3alla2; password ghalat; wifi ma byefta7,unknown; citizen-observed failure,private config/device,not municipal; possible Ogero only if line dead,bel bayt; 3al mobile; 3al laptop,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,UNKNOWN,public agency depends on asset and location,private device unless public line evidence,password; laptop; phone only; private router settings,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,router taba3e m3alla2 bas l line fi; password l wifi ghalat; laptop ma 3am yeshbak 3al wifi,hard_negative
CFS-0096,SAFETY,gas_leak,gas smell in public/building,ghaz; ri7a; pipe; jarra,ri7a 2awye; 3am ysarrib; khatir,unknown; citizen-observed failure,gas leak; bad cylinder; public pipe,explosion risk; residents evacuated,bel bineye; 3al madkhal; 7ad l mahal,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,CD; ISF; MUN; UNKNOWN,public agency depends on asset and location,always safety; public/private gas source,private-only issue; unrelated app/file/password/order context,GPS; active smell flag; image if safe,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi ri7et ghaz 2awye bel bineye; ghaz 3am ysarrib 7ad l mahal; ri7a ghaz 3al madkhal khatira,strong
CFS-0097,SAFETY,fire,active fire in public area,7ari2; nar; dkhane; bineye,3am yikbar; active; dkhane ktire,unknown; citizen-observed failure,trash burning; electrical fire; accident,injury risk; spread risk,bel bineye; 3al tari2; 7ad l zbele,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,CD; ISF; MUN,public agency depends on asset and location,active emergency,private-only issue; unrelated app/file/password/order context,GPS; active fire flag; avoid unsafe photo,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi 7ari2 7ad l bineye; nar 3am tekbar 3al tari2; dkhane ktire w l 3alam khayfe,seed
CFS-0098,SAFETY,injury,injury caused by public hazard,7ada; jar7; rasif; manhole; jora,wa2a3; t2aza; mjrou7,unknown; citizen-observed failure,pothole; open manhole; broken sidewalk,medical help; liability; urgent repair,3al rasif; 3al tari2; 2oddem l school,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,CD; ISF; MUN; MPWT,public agency depends on asset and location,emergency + infrastructure owner,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi 7ada wa2a3 bel biar l mfatou7; mara t2azet 3al rasif maksour; walad wa2a3 bel joura 2oddem l madrase,seed
CFS-0099,SAFETY,structural_collapse,building or wall collapse risk,7ayt; bineye; balcon; sa2ef,3am ywa2e3; mtsha22a2; mayyel,unknown; citizen-observed failure,old structure; water damage; works,injury/death risk; road blocked,3al tari2; 7ad l bineye; fo2 l rasif,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,CD; MUN; ISF,public agency depends on asset and location,always structural/safety review,private-only issue; unrelated app/file/password/order context,GPS; image; public exposure flag,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,7ayt 3am ywa2e3 3al tari2; balcon mayyel w khatir; sa2ef l bineye mtsha22a2 w fi nes ta7to,seed
CFS-0100,SAFETY,exposed_hazard,dangerous uncovered hazard,biar; cover; cable; 7afriye,mfatou7; makshouf; bala ishara,unknown; citizen-observed failure,missing cover; road works; vandalism,fall/electrocution risk,3al rasif; 3al tari2; 2oddem l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; CD; ISF; EDL; UNKNOWN,public agency depends on asset and location,asset owner and urgent safety,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi biar mfatou7 bala ishara; 7afriye makshoufe bel leil; cable makshouf w l wled 7addo,seed
CFS-0101,SAFETY,armed_incident,armed/public security incident,ishkal; sle7; 3alam; tari2,msalla7; khatir; 3am y2awso,unknown; citizen-observed failure,crime/public safety,immediate danger,3al tari2; bel 7ay; 2oddem l mahal,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,ISF,public agency depends on asset and location,always ISF/emergency,private-only issue; unrelated app/file/password/order context,GPS if safe; active danger flag,do not treat as municipal repair,Lebanese Arabizi; short citizen-style wording,fi ishkal msalla7 bel 7ay; 3alam ma3a sle7 3al tari2; fi khatar 2oddem l mahal,strong
CFS-0102,SAFETY,suspicious,suspicious abandoned object/vehicle,sayyara; object; shanta; package,matrouke; gharib; bala owner,unknown; citizen-observed failure,abandoned; unknown risk,security concern; blocks public space,3al tari2; 7ad l school; 2oddem l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,ISF; MUN,public agency depends on asset and location,always security assessment,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi sayyara matruke 7ad l school; shanta ghribe 3al rasif; object gharib 2oddem l bineye,seed
CFS-0103,SAFETY,blocked_emergency_access,emergency access blocked,madkhal; tari2; fire access; parking,msakkar; ma fi mourour; cars blocking,unknown; citizen-observed failure,illegal parking; obstacle,ambulance/fire truck cannot enter,3al madkhal; 7ad l bineye; 2oddem l hospital,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,ISF; CD; MUN,public agency depends on asset and location,traffic enforcement + emergency access,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,madkhal l bineye msakkar w l ambulance ma btfoot; fi cars msakrin tari2 l daf3 madane; emergency access 2oddem l hospital msakkar,seed
CFS-0104,SAFETY,falling_facade_or_stones,falling facade/stones,wajhet bineye; 7jar; balcon; rasif,3am ywa2e3; mfallat; khatir,unknown; citizen-observed failure,old building; storm; bad maintenance,pedestrians at risk,3al rasif; 2oddem l mahal; 7ad l bus stop,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,CD; MUN; ISF,public agency depends on asset and location,public safety and private building responsibility,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,7jar 3am ywa2e3 men l bineye; wajhet l bineye mfallte 3al rasif; balcon 3am yetfarrat w khatir,seed
CFS-0105,SAFETY,unsafe_tree_or_pole,tree/pole about to fall,shajra; 3amoud; pole,mayyel; 3am ywa2e3; mkassar,unknown; citizen-observed failure,storm; old roots; accident,fall risk; road blocked; wire risk,3al rasif; 3al tari2; 7ad l school,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; EDL; CD; ISF,public agency depends on asset and location,tree/pole/electric responsibility,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,shajra mayle 3al tari2; 3amoud 3am ywa2e3 7ad l school; pole mkassar w khatir 3al rasif,seed
CFS-0106,SAFETY,dangerous_public_stairs,public stairs/railing broken,daraj; handrail; park; rasif,maksour; bala darabzin; zali2,unknown; citizen-observed failure,old public facility; water; vandalism,fall risk; elderly/children affected,bel park; 3al daraj l 3am; 7ad l baladiye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,public facility vs private property,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,daraj l park maksour; darabzin l daraj maf2oud; l daraj zali2 w 3am ywa2e3 l 3alam,seed
CFS-0107,SAFETY,unsafe_playground,public playground hazard,park; la3ab; swing; z7li2a,maksour; rusty; khatir,unknown; citizen-observed failure,vandalism; poor maintenance,children injury risk,bel park; 7ad l madrase; bel 7ay,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,public park ownership,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,z7li2a bel park maksoura; swing rusty w khatir 3al wled; la3ab l wled mfallat bel park,seed
CFS-0108,SAFETY,street_dog_attack_risk,aggressive animals in public space,kleb; hayawanat; tari2; park,3am yhajmo; khatar; 3am y3abbo,unknown; citizen-observed failure,stray animals; public nuisance,children/pedestrians afraid or bitten,bel park; 2oddem l school; 3al tari2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; ISF; UNKNOWN,public agency depends on asset and location,animal welfare/public safety responsibility,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi kleb 3am yhajmo 2oddem l school; kleb sharise bel park; walad khaf men kleb 3al tari2,edge_case
CFS-0109,SAFETY,construction_site_public_hazard,unsafe construction site exposed to street,warsha; chantier; fence; 7afriye,bala 7ejiz; mfatou7a; falling debris,unknown; citizen-observed failure,unsafe construction,pedestrian/vehicle danger,3al rasif; 2oddem l bineye; 7ad l school,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; ISF; CD,public agency depends on asset and location,private construction enforcement,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,warsha bala 7ejiz 3al rasif; chantier 3am ywa2e3 7jar 3al tari2; 7afriye l warsha mfatou7a w khatira,seed
CFS-0110,ENVIRONMENT,air_pollution_smoke,persistent smoke or pollution,dkhane; ri7a; factory; zbele,khan2a; 3am yotla3; ri7a 2awye,unknown; citizen-observed failure,burning waste; generator; factory,breathing problems; public nuisance,bel 7ay; 7ad l factory; 2oddem l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE; CD,public agency depends on asset and location,source/severity unclear,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,dkhane khan2a bel 7ay; fi ri7a 2awye men l factory; smoke 3am yfout 3al byout,seed
CFS-0111,ENVIRONMENT,water_pollution,polluted stream or runoff,nahr; majra; may; waste,weskha; sawda; ri7a khayse,unknown; citizen-observed failure,sewage discharge; dumping; industrial runoff,health/environment harm,7ad l nahr; ta7t l jisr; bel wadi,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MOE; MUN; BMLWE; NLWE; BWE; SLWE,public agency depends on asset and location,environment vs sewage authority,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l nahr sar mayto sawda; fi sarf se7e 3am yfout 3al nahr; may weskha w ri7a khayse bel majra,seed
CFS-0112,ENVIRONMENT,illegal_dumping_environmental,large illegal dump/pollution site,radm; nfayat; 2ared; wadi,mekabb; metrakem; sam,unknown; citizen-observed failure,illegal dumping; industrial waste,pollution; fire risk; health hazard,bel wadi; 7ad l nahr; 3al 2ared l fadiye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MOE; MUN; CDR,public agency depends on asset and location,environmental violation scale,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi mekabb zbele bel wadi; nfayat marmiye 7ad l nahr; radm kbir 3al 2ared w ri7to khayse,seed
CFS-0113,ENVIRONMENT,noise_or_generator_pollution,generator noise/smoke nuisance,moteur; generator; dkhane; sot,sot 2awe; dkhane; ri7a mazout,unknown; citizen-observed failure,private/public generator,health/noise nuisance,ta7t l bineye; bel 7ay; 7ad l school,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE; UNKNOWN,public agency depends on asset and location,private generator vs public nuisance,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,moteur l 7ay sot 2awe ktir; dkhane mazout 3am yfout 3al byout; generator 7ad l school ri7to khayse,seed
CFS-0114,ENVIRONMENT,dead_animals_environmental,dead animals causing health nuisance,hayawan; kalb; bis; ri7a,meyyet; metrakem; ri7a,unknown; citizen-observed failure,roadkill; neglect; dumping,public health nuisance,bel park; 7ad l nahr; 3al tari2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE,public agency depends on asset and location,waste/public health/animal control,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,hayawan meyyet 7ad l nahr; fi bis meyyet bel park w ri7a; kalb meyyet 3al tari2 men embare7,seed
CFS-0115,ENVIRONMENT,dust_from_construction,construction dust affecting public,ghbar; warsha; chantier; tari2,ktire; ma fi rash may; 3al byout,unknown; citizen-observed failure,construction works; road works,respiratory nuisance; visibility,7ad l warsha; 2oddem l bineye; 3al tari2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE; MPWT,public agency depends on asset and location,private construction vs public works,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ghbar l warsha 3am yfout 3al byout; chantier ma 3am yeresh may w l ghbar ktir; road works 3am y3abbo ghbar bel 7ay,seed
CFS-0116,ENVIRONMENT,chemical_or_oil_spill,chemical/oil spill in public,chemical; zayt; diesel; ri7a,masboub; 3al tari2; ri7a 2awye,unknown; citizen-observed failure,vehicle spill; factory; illegal dumping,health/fire/slip risk,3al tari2; 7ad l station; bel nahr,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MOE; CD; MUN; ISF,public agency depends on asset and location,hazmat and safety,private-only issue; unrelated app/file/password/order context,GPS; image if safe; active spill flag,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi diesel masboub 3al tari2; ri7a chemical 2awye 7ad l factory; zayt w wasakh 3am yfout 3al majra,seed
CFS-0117,ENVIRONMENT,tree_cutting_or_public_green,public tree damage/removal,shajra; park; aghssan,ma2sou3a; nashfe; 3am tew2a3,unknown; citizen-observed failure,illegal cutting; disease; storm,loss of public green; safety hazard,bel park; 3al rasif; 7ad l school,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE,public agency depends on asset and location,environmental permission vs safety trimming,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi shajra 3am yen2as bala sabab bel park; shajra nashfe 3al rasif w khatira; aghssan 3am tew2a3 7ad l school,seed
CFS-0118,ENVIRONMENT,bad_smell_unknown_source,strong bad smell unknown source,ri7a; majrour; zbele; factory,khayse; 2awye; khan2a,unknown; citizen-observed failure,unknown; sewage; waste; chemical,public health concern,bel 7ay; 7ad l nahr; 2oddem l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE; UNKNOWN,public agency depends on asset and location,source and jurisdiction unclear,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi ri7a khayse bel 7ay w ma mna3ref men wen; ri7a khan2a 2oddem l bineye; kel leil fi ri7a chemical ghribe,seed
CFS-0119,ENVIRONMENT,litter_in_public_park,public park pollution,park; zbele; bench; grass,mwasakh; metrakem; broken glass,unknown; citizen-observed failure,missed cleanup; public misuse,children unsafe; public nuisance,bel park; 7ad l playground; 3al entrance,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,municipal maintenance,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l park mwasakh w zbele everywhere; fi glass mkassar bel park; zbele 7ad la3ab l wled,seed
CFS-0120,ENVIRONMENT,sewage_smell_public_health,sewage smell in street,ri7a; majrour; sarf se7e,khayse; 2awye; dayme,unknown; citizen-observed failure,blocked sewer; leak,public health concern,3al tari2; 2oddem l bineye; 7ad l sou2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MOE; BMLWE; NLWE; BWE; SLWE,public agency depends on asset and location,sewage authority vs municipal environment,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ri7et majrour 2awye bel share3; sarf se7e ri7to khayse 7ad l sou2; l 7ay kello ri7et majrour,seed
CFS-0121,ENVIRONMENT,animal_waste_public_space,animal waste in public space,wasekh; park; rasif; animals,metrakem; ri7a; ma tna2af,unknown; citizen-observed failure,stray animals; poor cleanup,health nuisance; children affected,bel park; 3al rasif; 2oddem l school,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,cleaning/animal management,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,wasekh hayawanat bel park; rasif 2oddem l school mwasakh; fi ri7a w wasekh 7ad l playground,seed
CFS-0122,MUNICIPAL_SERVICES,complaint_followup,municipality did not follow up,shakwa; baladiye; request,ma 7ada radd; ma fi jawab; ma t7arrako,unknown; citizen-observed failure,service delay; backlog,citizen follow-up; unresolved issue,3al baladiye; online; 3al telephone,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,follow-up requires original issue and ticket,private-only issue; unrelated app/file/password/order context,ticket/reference; original issue; date,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,2addamna shakwa w ma 7ada radd; baladiye ma t7arraket ba3d l report; ba3atna aktar men marra w ma fi jawab,seed
CFS-0123,MUNICIPAL_SERVICES,repair_not_done,repair crew came but issue remains,fer2a; tasli7; repair; shoghol,ma zabbat; rje3 khereb; incomplete,unknown; citizen-observed failure,poor repair; partial fix,repeat complaint; trust issue,3al tari2; 2oddem l bineye; bel 7ay,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; UNKNOWN,public agency depends on asset and location,which original sector/agency,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ejit l fer2a bass l moshkle ba3da; zabbato l tari2 w rje3et nkasret; l repair ma kammal w l 7afriye ba3da,seed
CFS-0124,MUNICIPAL_SERVICES,crew_no_show,scheduled crew did not come,fer2a; maw3ad; kashf,ma ejjo; t2ajjalo; ma 7ada 7aka,unknown; citizen-observed failure,scheduling failure,delayed service,bel 7ay; 3al maw2e3; 3al baladiye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; UNKNOWN,public agency depends on asset and location,service management,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,2aloulna l fer2a jeye w ma ejjo; maw3ad l kashf t2ajjal bala khabar; naterin l baladiye men l sob7,seed
CFS-0125,MUNICIPAL_SERVICES,public_park_maintenance,public park maintenance problem,park; bench; light; playground,maksour; mwasakh; ma fi daw,unknown; citizen-observed failure,poor maintenance; vandalism,public facility unusable,bel park; 7ad l playground; 3al entrance,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,municipal facility,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,bench bel park maksour; l park mwasakh w ma 7ada na2af; daw l park mtfi bel leil,seed
CFS-0126,MUNICIPAL_SERVICES,public_facility_damage,municipal/public facility broken,markaz; baladiye; toilet; door,maksour; ma byefta7; mwasakh,unknown; citizen-observed failure,maintenance issue; vandalism,citizens cannot use service,bel baladiye; bel park; bel markaz,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,public vs private facility,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,beb l markaz maksour; toilet l park mwasakh; madkhal l baladiye baddo tasli7,seed
CFS-0127,MUNICIPAL_SERVICES,local_cleaning_schedule,municipal cleaning schedule issue,tansif; share3; fer2a,ma 3am yjo; met2akhra; skipped,unknown; citizen-observed failure,schedule gap; staffing,dirty street; blocked drains,bel 7ay; 3al share3; bel sou2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN,public agency depends on asset and location,agency/jurisdiction unclear; public vs private boundary,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fer2et l tansif ma 3am tiji; share3na ma tna2af men jem3a; bel sou2 l tansif met2akher,seed
