normalised_token,top_raw_forms,freq,distinct_tweets,civic_co_occ,civic_ratio,az_ctx_count,az_ctx_ratio,score,has_arabizi_digit,guardrailed,sample_tweet
irungumichael45,irungumichael45(6),6,6,0,0.000,6,1.000,9.0,1,0,#saturday night @Jackie850chege @DjChrisStylus @evanswanyoike2 @gathonikamicha1 @irungumichael45 @Fa
crepaway,crepaway(6),6,6,1,0.167,2,0.333,9.0,0,0,#Crepaway.. We are so disappointed!
goodluck,goodluck(6),6,6,1,0.167,2,0.333,9.0,0,0,snapchats portrayal of ex girlfriends on point #goodluck https://t.co/OFzqI6nO37
husband,husband(4),4,4,2,0.500,2,0.500,9.0,0,0,A Daddy’s Letter to His Little Girl (About Her Future Husband) - Dear Cutie-Pie Recently your mother
an99,an99(6),6,6,0,0.000,6,1.000,9.0,1,0,@Ab_AN99 شباب ضد النظام ما عدا الحزب ???  والحركة والعونية والقومي وأيري بتيار المستقبل ?
member,member(6),6,6,1,0.167,2,0.333,9.0,0,0,Ghada Wali: Egyptian Minister of Social Affairs advocate for Arab Women’s Rights and a key member of
vois,vois(3),3,3,3,1.000,0,0.000,9.0,0,0,Genre tu crois j'ai oublié que tu existes après tout ca la ? Non non t'inquiete je sais que tu es la
liked,liked(7),7,7,1,0.143,0,0.000,9.0,0,0,@JustineGhosn I hate horror though. Glad u liked it
patience,patience(6),6,6,1,0.167,2,0.333,9.0,0,0,patience.
oscar,oscar(6),6,6,1,0.167,2,0.333,9.0,0,0,@YazbekWehbe hehehebe walid bek mich 3erif halo mdawakh halo w mdawakhna yemkine oscar ma3luheto ada
michel9,michel961(6),6,6,0,0.000,6,1.000,9.0,1,0,@Michel961 ?
carrie,carrie(8),8,8,0,0.000,2,0.250,9.0,0,0,Hey Carrie @kendulin @carrieunderwood @littlebigtown this looks nice :  )
yaaas,yaaas(6),6,6,1,0.167,2,0.333,9.0,0,0,Yaaas homie https://t.co/AYdAXgHhrI
gentleman,gentleman(5),5,5,1,0.200,4,0.800,9.0,0,0,Gentleman cto  JaneRomeFinally OnASAP https://t.co/xVpmLr6Fx7
twenty,twenty(4),4,4,2,0.500,2,0.500,9.0,0,0,JaneRome at Star Magic twenty thirteen cto  JaneRomeFinally OnASAP https://t.co/sDHLOMz1Ct
spotlight,spotlight(4),4,4,2,0.500,2,0.500,9.0,0,0,Spotlight  View In Store Ken's Place (Music) All songs w/b Ken Dulin
cela,cela(3),3,3,3,1.000,0,0.000,9.0,0,0,@LOrientLeJour. Ou sont les divers syndicats associations et partis politiques de tout cela ? Absenc
linalf,linalf1(8),8,8,0,0.000,2,0.250,9.0,0,0,@linalf1 https://t.co/4hovKzqUe5
silang,silang(3),3,3,3,1.000,0,0.000,9.0,0,0,"Wow ang ganda naman pakinggan ang ""The Power Four of Dancefloor"" sana palagi na silang nasa ASAP #AS"
daylightsavingtime,daylightsavingtime(7),7,7,0,0.000,4,0.571,9.0,0,0,#DaylightSavingTime https://t.co/iRWyeWz1MG Follow https://t.co/82JAn12y7l
beaux,beaux(5),5,5,1,0.200,4,0.800,9.0,0,0,Une des plus beaux cadeaux de la vie?? #Amitié @ Al Baylassan https://t.co/EYyIQYb2Cy
ane,ane(4),4,4,2,0.500,2,0.500,9.0,0,0,@jaurenotmani w ane aktar :(
monot,monot(5),5,5,1,0.200,4,0.800,9.0,0,0,? @ Rue Monot https://t.co/VfCbttDGQ4
shahidkapoor,shahidkapoor(7),7,7,0,0.000,4,0.571,9.0,0,0,https://t.co/iRWyeWz1MG #salmankhan  #ShahRukhKhan #shahidkapoor  #JustinBieber  Follow?????? https:
delivered,delivered(5),5,5,1,0.200,4,0.800,9.0,0,0,Think of the love of God for you thinking of the number of times He delivered you from destruction a
prayers,prayers(6),6,6,1,0.167,2,0.333,9.0,0,0,I'm the testimony that God answers prayers and do not judge us by the opinion or written articles of
aala,aala(4),4,4,2,0.500,2,0.500,9.0,0,0,mabaaref eza bedhak aw bebke aala my snapchat story
arm,arm(5),5,5,2,0.400,0,0.000,9.0,0,0,Désinformation sur LCI un photographe de Homs photographie un militaire avec sa mariée dans les ruin
mzaar,mzaar(5),5,5,1,0.200,4,0.800,9.0,0,0,The only #country in  #Orient where U can #ski &amp; #swim the same day #Lebanon #Cedars #Laklouk #M
access,access(7),7,7,0,0.000,4,0.571,9.0,0,0,#Lebanon has top education in the #MiddleEast  The ONLY COUNTRY in MIDDLE EAST where both genders ha
contra,contra(5),5,5,1,0.200,4,0.800,9.0,0,0,"Pra td mundo falando que ? vai pra rua hj pq o protesto é somente ""contra o PT"": por favor vai tomar"
romance,romance(7),7,7,0,0.000,4,0.571,9.0,0,0,For all Nancy Fans.. Please Enjoy #NancyAjram #YaGhali #Romance #Violin #NancyLovers #Music https://
emile,emile(4),4,4,2,0.500,2,0.500,9.0,0,0,happy 31 years old a good actor Emile Hirsch https://t.co/9rFlDV2n03
orcaafarah,orcaafarah(4),4,4,2,0.500,2,0.500,9.0,0,0,@orcaafarah Wtaf???????
mario,mario(8),8,8,0,0.000,2,0.250,9.0,0,0,"mario__cr7 : ""??"" https://t.co/vWMluvlEzw #beirut"
leazgheib,leazgheib(4),4,4,2,0.500,2,0.500,9.0,0,0,@leazgheib plss salloune
bus,bus(8),8,8,0,0.000,2,0.250,9.0,0,0,Park the bus! @WatfordFC
tunis,tunis(4),4,4,2,0.500,2,0.500,9.0,0,0,Poor #Africa #Nigeria #Somalia #Sudan #Mali #Libya #Tunis #Egypt and all the other unstable countrie
bathroom,bathroom(8),8,8,0,0.000,2,0.250,9.0,0,0,@dinaliz2 it's right there in the bathroom. Get some ?
lynn,lynn(6),6,6,1,0.167,2,0.333,9.0,0,0,@Lynn_Atik yarit
acc,acc(6),6,5,1,0.200,1,0.200,9.0,0,0,@eimyhoney @enriqueiglesias thx dw it is me the same person on the other acc too
tant,tant(5),5,5,2,0.400,0,0.000,9.0,0,0,@PierreABISAAB ??? rien d'inquiétant! Un verre et un texte feront l'affaire!
impressed,impressed(4),4,4,2,0.500,2,0.500,9.0,0,0,@BecharaGhady thats what fans are suposed to do even tho i'm older than you eno am 17 but ur talent 
baaref,baaref(4),4,4,2,0.500,2,0.500,9.0,0,0,@MostafaKarout @Amirabiabdallah @leaboust @missburgers_ baaref bess the hit elon
downloading,downloading(4),4,4,2,0.500,2,0.500,9.0,0,0,@MostafaKarout @Amirabiabdallah @missburgers_ @leaboust yallaa downloading them
basselaridi,basselaridi(7),7,7,0,0.000,4,0.571,9.0,0,0,اعتصام في خلدة  رفضا لاقامة مطمر الكوستابرافا - @basselaridi  https://t.co/3c7GyBHZQV
chicks,chicks(4),4,4,2,0.500,2,0.500,9.0,0,0,Sure do love our new baby chicks I'm imprinting them &amp; my number 1 follower Bit me ha ha drew bl
liberty,liberty(7),7,7,1,0.143,0,0.000,9.0,0,0,Liberty deserves the best
fj9m8x1hgv,fj9m8x1hgv(6),6,6,0,0.000,6,1.000,9.0,1,0,Follow plz??  Insta? https://t.co/FJ9m8X1HgV  Twitter? @MohamedAbbaass  #mohammedabbas
mohammedabbas,mohammedabbas(6),6,6,0,0.000,6,1.000,9.0,0,0,Follow plz??  Insta? https://t.co/FJ9m8X1HgV  Twitter? @MohamedAbbaass  #mohammedabbas
abisaadalex,abisaadalex(6),6,6,1,0.167,2,0.333,9.0,0,0,@AbisaadAlex you in?  https://t.co/MGaQTQN8jH
tinder,tinder(4),4,4,2,0.500,2,0.500,9.0,0,0,"me: ""i rarely have a tinder match"" *has a match* *waits for him to start convo bc not that desperate"
zxmdon9zya,zxmdon9zya(6),6,6,0,0.000,6,1.000,9.0,1,0,#ENGvWAL #KCAs #MUFC  #ChievoMilan #BANvOMA #Signal  Follow plzz  ?  ?https://t.co/zxMDon9ZYa… @Raph
smarter,smarter(5),5,5,2,0.400,0,0.000,9.0,0,0,Dear woman sharing a sexist video that makes women out to be smarter than men: you're not helping yo
fails,fails(4),4,4,2,0.500,2,0.500,9.0,0,0,When you work on a project for hours and it epically fails.. الحمد لله على كل حال (Praise God in eve
alkhabar,alkhabar(7),7,7,1,0.143,0,0.000,9.0,0,0,@alkhabar_online aoun forosto mino we fi mano natir rida hadan houwe bi alb chaabo
apologize,apologize(6),6,6,1,0.167,2,0.333,9.0,0,0,"It's like Taylor Swift Taylor Lautner and the ""Back to December"" ""Too Late to Apologize"" mix"
satisfaction,satisfaction(6),6,6,1,0.167,2,0.333,9.0,0,0,I didnt want to give u the satisfaction of thinking i cared enough to ask...
merda,merda(5),5,5,2,0.400,0,0.000,9.0,0,0,é cada merda que acontece na vida
choses,choses(3),3,3,3,1.000,0,0.000,9.0,0,0,Tellement de choses a faire
cmg,cmg(4),4,4,2,0.500,2,0.500,9.0,0,0,Quando que isso vai acontecer cmg e com o josh??? https://t.co/8UonNWnXh1
dios,dios(4),4,4,2,0.500,2,0.500,9.0,0,0,Gracias Dios m?o por esta lluvia! La ccamsha del futuro te agradece por los lts de agua para este ve
dif,dif(5),5,5,2,0.400,0,0.000,9.0,0,0,@natesbfr se t? dif?cil ter amg imagina ter melhor amg kkkkkkk
selectionsunday,selectionsunday(6),6,6,0,0.000,6,1.000,9.0,0,0,#SelectionSunday  #AFCvWFC  plz follow?? ?https://t.co/fl9GSCcGRn    ? ?@RaphaelJabbour1  #raphaelja
autres,autres(3),3,3,3,1.000,0,0.000,9.0,0,0,Quand d'autres se plaignent de leurs présidents ici tout baigne! #Dealwithit
weapons,weapons(6),6,5,1,0.200,1,0.200,9.0,0,0,161 chemical weapons attacks in Syria's war new report says https://t.co/DGR8Ah9FVr https://t.co/MRG
ing,ing(4),4,4,2,0.500,2,0.500,9.0,0,0,A real reading in the voting #wahlen2016 shows that #Germans r afraid because #refugees are not #int
creating,creating(6),6,6,1,0.167,2,0.333,9.0,0,0,A real reading in the voting #wahlen2016 shows that #Germans r afraid because #refugees are not #int
envie,envie(3),3,2,2,1.000,0,0.000,9.0,0,0,Tous les matins je me réveille avec une envie d'aller à Douala ... ??
hetuka,hetuka(7),7,7,0,0.000,4,0.571,9.0,0,0,@inooroke hetuka na @saramonicah @@mugowaruth @MikeKashonga @Jackie850chege @JWakagio @WachirawaGi2g
intelligent,intelligent(7),7,7,1,0.143,0,0.000,9.0,0,0,@AndyKhalil1 Oh please Stalin Lenin and Hitler combined were far more intelligent and electable than
swimming,swimming(5),5,5,1,0.200,4,0.800,9.0,0,0,Sabi ni Aimi isang beses lng sya nakapag swimming nung ksama si Miho B4 PBB after nun hndi na naulit
siguro,siguro(5),5,5,2,0.400,0,0.000,9.0,0,0,Naloka na bhe ang mga yan wala na siguro silang makuhang issue kay Miho kaya pati Bata ginawan na ng
thestoryofus,thestoryofus(6),6,6,1,0.167,2,0.333,9.0,0,0,Sana sa MallShow nila next kantahin n nila ung song n kinanta n Xi sa THESTORYOFUS   #TSOULdr
profite,profite(3),3,3,3,1.000,0,0.000,9.0,0,0,Un voleur ne profite jamais de son crime. A ceux qui nous ont volé notre 14 mars la fin de votre coa
elegant,elegant(5),5,5,1,0.200,4,0.800,9.0,0,0,:::NEW::: The much awaited #converse #chucktaylor II has arrived all the #classic #elegant… https://
kwintas,kwintas(4),4,4,2,0.500,2,0.500,9.0,0,0,BAKIT nga pla ung kwintas Macoy Hindi nya hinuhubad since bata pa siya may story kaya un??  #TSOULdr
naw2,naw2016(6),6,6,0,0.000,6,1.000,9.0,1,0,#NAW2016 #LouisVuitton  #JustinBieber  #HappyBirthdayAamirKhan  https://t.co/iRWyeWz1MG Follow https
shideh,shideh(6),6,6,0,0.000,6,1.000,9.0,0,0,Diaspora welll represented @GhettoRadio895 @_shideh @ABonokoDeh #Goteana #Goteana
sanayairani,sanayairani(6),6,6,0,0.000,6,1.000,9.0,0,0,#DrashtiDhami #SanayaIrani  Follow :@RaphaelJabbour1 ? https://t.co/MzzHtf9qCQ Follow ? https://t.co
coisa,coisa(5),5,5,2,0.400,0,0.000,9.0,0,0,tanta coisa pra fazer e t?o pouca vontade
cnbc,cnbc(6),6,6,1,0.167,2,0.333,9.0,0,0,@BeckyQuick #SyrianRefugees:Lebanon:1.5m;Jordan:500k;Turkey:1.5m; Germany:1m;Greece:unknown. CNBC #s
accent,accent(3),3,2,2,1.000,0,0.000,9.0,0,0,Donc ne vous étonnez pas que mon accent soit un vrai accent Français et que je ne chante pas quand j
cuddle,cuddle(4),4,4,2,0.500,2,0.500,9.0,0,0,Cute baby &lt;3 Bassel Hachem &lt;3 (2 months) #baby #babies #adorable #cute #cuddly #cuddle #small…
jendricjad,jendricjad(6),6,6,1,0.167,2,0.333,9.0,0,0,@jendricjad ung iba kasi atat magpatrend s magaling araw haysss d naman natin kayang e maintain  #TS
mazbout,mazbout(4),4,4,2,0.500,2,0.500,9.0,0,0,@samarelhelwe @LibanHuit mazbout 100%
priyankachopra,priyankachopra(7),7,7,0,0.000,4,0.571,9.0,0,0,https://t.co/iRWyeWz1MG Follow #kpop #mondaymotivation  #PiDay  #StPatricksDay  #PriyankaChopra  #De
struggle,struggle(7),7,7,1,0.143,0,0.000,9.0,0,0,Airlines will begin to struggle due to a shortage of trained pilots @mebaa  #avgeek #riskmanagement 
serjpa,serjpa(7),7,7,0,0.000,4,0.571,9.0,0,0,@SerjPA @joe11093 who the fuck flirts like that.
noursafadi,noursafadi1(4),4,4,2,0.500,2,0.500,9.0,0,0,Living in that country is the slowest way of DYING...“ Wishing you a blessed #evening! #RDM @… https
ghadayami,ghadayami(4),4,4,2,0.500,2,0.500,9.0,0,0,Living in that country is the slowest way of DYING...“ Wishing you a blessed #evening! #RDM @… https
champ,champ(5),5,5,1,0.200,4,0.800,9.0,0,0,#Repost @pasto_champ ??? LAUNCHING PAQUES DES JEUNES COMPETITIONS!!! 1st competition: - Take a… http
hlof,hlof(4),4,4,2,0.500,2,0.500,9.0,0,0,Hlof 3am tchateh barad ?????
catsandlabneh,catsandlabneh(7),7,7,1,0.143,0,0.000,9.0,0,0,@catsandlabneh does she realy say that tho
ktr,ktr(4),4,4,2,0.500,2,0.500,9.0,0,0,Justin w ho maawdin ktr notifications bas nrj wvirgin la2 lol @scooterbraun @AlfredoFlores @AllisonK
teb,teb(4),4,4,2,0.500,2,0.500,9.0,0,0,@modricaholic HAHAHAHAHA SMH @ YOUUU? teb do you wanna build a snowman ?
officially,officially(6),6,6,1,0.167,2,0.333,9.0,0,0,Netflix has officially destroyed my sleeping pattern
sweetheart,sweetheart(6),6,6,1,0.167,2,0.333,9.0,0,0,@BenjaminLasnier CONGRATULATIONS SWEETHEART! I KNEW U WOULD WIN U DESERVE IT A LOT AND IM SO HAPPY A
sab,sab(6),6,6,0,0.000,6,1.000,9.0,0,0,@sab_rahal للرقي والفن والجمال عنوان نيكول سابا  #we_love_Nicole_Saba  ? ? ? https://t.co/UflETtIF7V
counting,counting(4),4,4,2,0.500,2,0.500,9.0,0,0,I'm counting the stars while waiting for you. But someday i'll count them all and I won't find you.
split,split(5),5,5,2,0.400,0,0.000,9.0,0,0,Attempting to make a yellow split pea dhal*   *pretending I know how to cook diversely
wanting,wanting(8),8,8,0,0.000,2,0.250,9.0,0,0,I've been wanting to watch this movie for a while and on my one free night the internet is really sl
santa,santa(5),5,5,1,0.200,4,0.800,9.0,0,0,Extra?ando ?? @ Itaja? - Santa Catarina https://t.co/uwdvuI1A3L
issoke,issoke(4),4,4,2,0.500,2,0.500,9.0,0,0,@RoubaMoussa1 HAHAHAHA issoke ?
cdbda17582bf407,cdbda17582bf407(6),6,6,0,0.000,6,1.000,9.0,1,0,@cdbda17582bf407 The two trees in that place it's very kind
lolz,lolz(4),4,4,2,0.500,2,0.500,9.0,0,0,... Its only tuesday lets have a laugh #laughing #laughter #laughs #lolz #fun #bellemuse #muse… http
blacked,blacked(7),7,7,0,0.000,4,0.571,9.0,0,0,@seanmichaelsent @PS_JBrownXXX and @IsiahMaxwell team up @Blacked_com ! https://t.co/qXApNtqXd1
assalaofficial,assalaofficial(7),7,7,0,0.000,4,0.571,9.0,0,0,@AssalaOfficial https://t.co/Vkbi38KFIT  أصالة توجّه رسال تحذيرية من استغلال الاطفال الموهوبين
cwyl3h4sep,cwyl3h4sep(6),6,6,0,0.000,6,1.000,9.0,1,0,@AZ__TEAM عبدالسلام الزايد بصورة حديثة له، وإليكم ما قاله!  https://t.co/CWYL3h4seP
jan,jan(6),6,6,1,0.167,2,0.333,9.0,0,0,Jan n makikila ni Tin  si Marge aka Cheena Crab  #TSOUKapitLang
santadaaboul,santadaaboul(4),4,4,2,0.500,2,0.500,9.0,0,0,@SantaDaaboul shem w la tdou2 ???????
rockinriolisboa,rockinriolisboa(6),6,6,0,0.000,6,1.000,9.0,0,0,@YaraaEI @Susy_EI @rockinriolisboa @maroon5 @FathimaAnsari1 haha
maroon5,maroon5(6),6,6,0,0.000,6,1.000,9.0,1,0,@YaraaEI @Susy_EI @rockinriolisboa @maroon5 @FathimaAnsari1 haha
fathimaansari,fathimaansari1(6),6,6,0,0.000,6,1.000,9.0,0,0,@YaraaEI @Susy_EI @rockinriolisboa @maroon5 @FathimaAnsari1 haha
2iahx2eemz,2iahx2eemz(6),6,6,0,0.000,6,1.000,9.0,1,0,#FairFight Follow ????  ?https://t.co/MzzHtf9qCQ  ? https://t.co/2iaHX2eeMz https://t.co/c2K2XHfLsA
disgrace,disgrace(6),6,5,1,0.200,1,0.200,9.0,0,0,Your article is a disgrace you re a disgrace to journalists and the media world if I were u I d find
kamel,kamel(5),5,5,1,0.200,4,0.800,9.0,0,0,"kamel.khalife.13 : ""أروع خواتم ياقوت خام مميز جدا في البتول ال?حجار الكريمه والفضة واسلاميات بئر الع"
maaary75saad,maaary75saad(6),6,6,0,0.000,6,1.000,9.0,1,0,Am a winner tambaaa nayo @PatoNdiritu @GideonWanyoike2 @GathurePatrick @inooroke @JosephineGitah1 @K
pakvban,pakvban(6),6,6,0,0.000,6,1.000,9.0,0,0,#PAKvBAN https://t.co/iRWyeWz1MG Follow https://t.co/uNz3uA9Nh7
nv3q8qasje,nv3q8qasje(6),6,6,0,0.000,6,1.000,9.0,1,0,Today's #DailyDishes at Hallab 1881 - Tripoli Branch https://t.co/nV3q8qasjE https://t.co/j2mNwYlgAH
waves,waves(4),4,4,2,0.500,2,0.500,9.0,0,0,Strong waves ??? #Mina #TripoliLB https://t.co/izoWHxGWLC
print,print(6),6,5,1,0.200,1,0.200,9.0,0,0,Last print will be on March 26 .. The Independent newspaper confirms an end to print production - vi
ocha,ocha(5),5,5,1,0.200,4,0.800,9.0,0,0,#Syria in 5 years illustrative timeline #UN &amp;partners support #Syrians btw 2011-2015 https://t.c
apewetuskermoja,apewetuskermoja(6),6,6,0,0.000,6,1.000,9.0,0,0,Nko rada #Goteana  #Goteana @nicmuhando @LindehLupitaWol @LastBornChizi @JANEMUM3 @Apewetuskermoja @
gadijah,gadijah(6),6,6,0,0.000,6,1.000,9.0,0,0,Nko rada #Goteana  #Goteana @nicmuhando @LindehLupitaWol @LastBornChizi @JANEMUM3 @Apewetuskermoja @
palmah,palmah(6),6,6,0,0.000,6,1.000,9.0,0,0,Nko rada #Goteana  #Goteana @nicmuhando @LindehLupitaWol @LastBornChizi @JANEMUM3 @Apewetuskermoja @
maison,maison(4),4,4,2,0.500,2,0.500,9.0,0,0,I'm at Maison Notre Dame- physical rehab hospital https://t.co/A8WUgafJi1
alqarnee,alqarnee(8),8,8,0,0.000,2,0.250,9.0,0,0,@Dr_alqarnee @ihssenemegan اللهم صلى وسلم وبارك على سيدنا محمد وعلى اله وصحبه اجمعين
d3waapp,d3waapp(6),6,6,0,0.000,6,1.000,9.0,1,0,@9d8h_jaryh_00 @Norah_Fatimah @d3waapp اللهم امين
quran,quran(6),6,6,0,0.000,6,1.000,9.0,0,0,@3zozy77 @200Saralove @Quran_ksu اللهم صل وسلم وبارك على سيدنا محمد وعلى اله وصحبه اجمعين
ivote,ivote(6),6,6,0,0.000,6,1.000,9.0,0,0,#TBworld2016  Ivote for beautiful #TBworld2016    @DTopbeautyworld @Haidy_Moussa  #HaidyMoussa https
summer2,summer2016(6),6,6,0,0.000,6,1.000,9.0,1,0,#newcolor #summer2016 #caffelatte @ SALON Robert Maalouf https://t.co/PPJ2S3p7a8
expectations,expectations(4),4,4,2,0.500,2,0.500,9.0,0,0,Realising the difference between expectations and realities #Damascus https://t.co/3GOmzwpFMe
sectarian,sectarian(5),5,5,2,0.400,0,0.000,9.0,0,0,@samygemayel: The current sectarian and centralized political system is the main reason behind most 
ohsnapitsbonnie,ohsnapitsbonnie(6),6,6,0,0.000,6,1.000,9.0,0,0,@3union @ohsnapitsbonnie hahhahahahahaa? thanks ??
evra,evra(4),4,4,2,0.500,2,0.500,9.0,0,0,Evra ?
institutions,institutions(6),6,6,1,0.167,2,0.333,9.0,0,0,@samygemayel: We are staying part of the government to safeguard what is left of the state instituti
dig,dig(4),4,4,2,0.500,2,0.500,9.0,0,0,@achmar_ @myriam_menhem @Ink184 ma 3am 3ayet I was just taking a dig at Liverpool
esque,esque(4),4,2,1,0.500,1,0.500,9.0,0,0,Without music life would be a mistake.“ Wishing you a blessed #day! #RDM @ Kasrouane https://t.co/LA
rhcpwrehereguys,rhcpwrehereguys(4),4,4,2,0.500,2,0.500,9.0,0,0,Without music life would be a mistake.“ Wishing you a blessed #day! #RDM @ Kasrouane https://t.co/LA
certo,certo(3),3,3,3,1.000,0,0.000,9.0,0,0,de boa se você acha esse autogolpe certo pode dar unfollow de burro e retardado j? me basta o povo d
partout,partout(3),3,3,3,1.000,0,0.000,9.0,0,0,Merkel aurait dit o Libanais: Moscou nous a donné un message fort en Syrie: faut pas jouer avec les 
yeux,yeux(3),3,3,3,1.000,0,0.000,9.0,0,0,Dans le brun de ses yeux La poésie un brouillard De souffles automnale  #haiku
granted,granted(3),3,3,3,1.000,0,0.000,9.0,0,0,Let's get some shit straight. If youre not black you're not granted permission to say the anti black
askxianlim,askxianlim(7),7,7,1,0.143,0,0.000,9.0,0,0,LABS #AskXianLim pag ibig o pangarap? ? #TSOUPanggap  https://t.co/UWuu6OmXkA
basher,basher(3),3,1,1,1.000,0,0.000,9.0,0,0,Number 1 fan ni Boy basher ni Girl Basher to Girl -sobrang landi mo Girl Boy to his number 1 fan- NO
toifa2,toifa2016(6),6,6,0,0.000,6,1.000,9.0,1,0,Folow plz?????? ?https://t.co/snQA5yL1R1         ? @RaphaelJabbour1  #RaphaelJabbour  #TOIFAinDubai 
giggs,giggs(6),6,5,1,0.200,1,0.200,9.0,0,0,Giggs deserves the sack with Van Gaal
grey,grey(5),5,5,1,0.200,4,0.800,9.0,0,0,Jaguar X-Type Oxford Executive 2008 Dark grey/Beige Belgium Cars For info 03212208 or visit https://
getwellsoondylan,getwellsoondylan(8),8,8,0,0.000,2,0.250,9.0,0,0,https://t.co/iRWyeWz1MG Follow #photo  #ULTRALIVE  #MMMGlobal  #GetWellSoonDylan  #blogger https://t
amalrmeitii,amalrmeitii(5),5,5,2,0.400,0,0.000,9.0,0,0,@amalrmeitii @HassibSbeiti not a stalker
972a56ca059644d,972a56ca059644d(6),6,6,0,0.000,6,1.000,9.0,1,0,@972a56ca059644d تحية لك إستاذ مروان نتمنى نشوف نجما ستار أكاديمي رافاييل جبور وحنان الخضر في مسلسل 
unkmwdq8gk,unkmwdq8gk(6),6,6,0,0.000,6,1.000,9.0,1,0,#علي_الفيصل #نجم بالصورة: علي الفيصل على اليخت في وسط البحر .. و “الباشا” تواصل نجاحها!  https://t.c
taksim,taksim(5),5,5,1,0.200,4,0.800,9.0,0,0,Yeter! #Istanbul #taksim #prayforistanbul https://t.co/13jyIvbG00
cages,cages(3),3,1,1,1.000,0,0.000,9.0,0,0,ANIMALS SHOULD NOT BE IN CAGES/AQUARIUMS THEY SHOULD NOT BE HURT ANIMALS SHOULD NOT BE IN CAGES/AQUA
tfou,tfou(3),3,1,1,1.000,0,0.000,9.0,0,0,@mich_h nsam badane wlak tfou tfou tfou
internationaldayofhappiness,internationaldayofhappiness(8),8,8,0,0.000,2,0.250,9.0,0,0,#InternationalDayOfHappiness my main happiness comes from @TheEllenShow
lgg5,lgg5(6),6,6,0,0.000,6,1.000,9.0,1,0,#FirstDayOfSpring is a time for new beginnings ? #LGG5 https://t.co/xyeE7Vl2n7 https://t.co/ATZGXS6b
alshemary77,alshemary776(6),6,6,0,0.000,6,1.000,9.0,1,0,@Alshemary776 نحنا هيك منحكي
dhimmis,dhimmis(3),3,2,2,1.000,0,0.000,9.0,0,0,@mestrate @HaddadScarlett que c'est vrai qu'ils sont de vrai dhimmis mais le Liban n'est pas trop pe
lifeless,lifeless(4),4,4,2,0.500,2,0.500,9.0,0,0,Spies/stalkers are LIFELESS #DWB @ Learning Enhancement and Assistance Program - LEAP https://t.co/i
twitter10years,twitter10years(5),5,5,1,0.200,4,0.800,9.0,0,0,Happy #Twitter10Years first few years with you didn't really make much sense last few years even les
iraqipilot78,iraqipilot78(6),6,6,0,0.000,6,1.000,9.0,1,0,@iraqipilot78 تحياتي الك وسلامي للعراق كل العراق
doobie,doobie(6),6,6,0,0.000,6,1.000,9.0,0,0,@doobie_m8 shou
capisce,capisce(3),3,3,3,1.000,0,0.000,9.0,0,0,@emobranco lol certo ha ricevuto milliardi per la sua campagna invece trump no pero trump non e cult
occidente,occidente(3),3,3,3,1.000,0,0.000,9.0,0,0,@emobranco io invece sono sicura che l occidente capisce benissimo cosa sta succedendo e cosa sta fa
altri,altri(3),3,3,3,1.000,0,0.000,9.0,0,0,@emobranco egli altri hanno fatto lo stesso! ognuno ha pulito la sua regione per se stesso
della,della(3),3,3,3,1.000,0,0.000,9.0,0,0,@emobranco non lasciarti prendere della propaganda in giro tutti sono il male pero la media ha parla
tutto,tutto(3),3,3,3,1.000,0,0.000,9.0,0,0,@emobranco non lasciarti prendere della propaganda in giro tutti sono il male pero la media ha parla
quello,quello(3),3,3,3,1.000,0,0.000,9.0,0,0,@emobranco ma tu pensi che c e qualcuno mglio del altro infatti sono due diaboli e non possiamo deci
prima,prima(3),3,3,3,1.000,0,0.000,9.0,0,0,@emobranco queste foto fanno parte della propagnda dopo la guerra non esistevano prima meno male
bmsq8kbrch,bmsq8kbrch(6),6,6,0,0.000,6,1.000,9.0,1,0,@RaghebnaMagazin راغب علامة في كلام مؤثر بمناسبة عيد الأمّ!  https://t.co/bmSq8kbRCH
brusselsattack,brusselsattack(5),5,5,1,0.200,4,0.800,9.0,0,0,الركاب يغادرون #مطار_بروكسل بعد الانفجارين #بلجيكا #brusselsattack #brusselsairport #Brussels https:
mabelleanis,mabelleanis(6),6,6,0,0.000,6,1.000,9.0,0,0,@heba_bebo20 @mabelleanis @NourmohamedL @nada_mabelle  لو ينوو اجيبلهم الماااالكة احلام تقطق و بيووو
tozz,tozz(3),3,1,1,1.000,0,0.000,9.0,0,0,Tozz w tozz w miyet tozz
elham,elham(3),3,3,3,1.000,0,0.000,9.0,0,0,@Elham_sd @reemhac @eliejosephsous ??? min wen nakashtiya
abeerregretall,abeerregretall(3),3,3,3,1.000,0,0.000,9.0,0,0,@AbeerRegretAll the kuffiyeh is more like a Levant thing. Iraq Syria Jordan Palestine Lebanon all we
balls,balls(5),5,4,1,0.250,2,0.500,8.8,0,0,Chicago has the balls to do what no other state had the balls to do well done #Trump
etre,etre(5),5,4,1,0.250,2,0.500,8.8,0,0,@samy1535 oui qd on est faible comme le liban on aura pas de possiblite que d etre civiliser pour et
starring,starring(5),5,4,1,0.250,2,0.500,8.8,0,0,"الحب اعمى والفتيات لايرون  الحماقه التي يقترفونها   #صبايا_اليوم,صبايا_اليوم,None,ar,لبنان,LB,لبنان,"
compliment,compliment(5),5,4,1,0.250,2,0.500,8.8,0,0,Best compliment so far https://t.co/175wiRSrHq
