id,arabizi_variant,normalized_arabizi,arabic_lebanese,english_meaning,category,part_of_speech,form_type,notes,confidence
15295,kermel hek,kermel hek,كرمال هيك,for that reason,daily_phrases,phrase,phrase,Expansion Round 2; connector phrase,high
15296,khaberine bas tousale,khaberine bas tousale,خبريني بس توصلي,tell me when you arrive,daily_phrases,phrase,phrase,Expansion Round 2; command/request; to feminine,high
15297,khaberne eza fi shi,khaberne eza fi shi,خبرني إذا في شي,tell me if there is anything,daily_phrases,phrase,phrase,Expansion Round 2; reusable phrase frame,high
15298,khaberni eza fi shi,khaberne eza fi shi,خبرني إذا في شي,tell me if there is anything,daily_phrases,phrase,spelling_variant,Expansion Round 2; reusable phrase frame,high
15299,khabernee bas tousal,khabernee bas tousal,خبرني بس توصل,tell me when you arrive,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15300,khaberoun bas tousalo,khaberoun bas tousalo,خبرن بس توصلوا,tell them when you arrive,daily_phrases,phrase,phrase,Expansion Round 2; command/request; to group,high
15301,khfif,khafif,خفيف,light,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,medium
15302,khafif,khafif,خفيف,light/easy,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15303,khafeef,khafif,خفيف,light/easy,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15304,khafifi,khafife,خفيفة,light,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15305,khafife,khafife,خفيفة,light/easy,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description; feminine,high
15306,khafeefe,khafife,خفيفة,light/easy,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description; feminine,high
15307,khallih 3a ba3den,khallih 3a ba3den,خلّيه ع بعدين,leave it for later,daily_phrases,phrase,phrase,Expansion Round 2; reusable phrase frame,high
15308,khallik barra,khallik barra,خلّيك برا,stay outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15309,5allik barra,khallik barra,خلّيك برا,stay outside,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15310,khallik fo2,khallik fo2,خلّيك فوق,stay upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15311,5allik fo2,khallik fo2,خلّيك فوق,stay upstairs,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15312,khallik hon,khallik hon,خلّيك هون,stay here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15313,khallik hawn,khallik hon,خلّيك هون,stay here,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15314,khallik ta7et,khallik ta7et,خلّيك تحت,stay downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15315,5allik ta7et,khallik ta7et,خلّيك تحت,stay downstairs,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15316,khallike barra,khallike barra,خلّيكِ برا,stay outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15317,5allike barra,khallike barra,خلّيكِ برا,stay outside,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15318,khallike fo2,khallike fo2,خلّيكِ فوق,stay upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15319,5allike fo2,khallike fo2,خلّيكِ فوق,stay upstairs,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15320,khallike hon,khallike hon,خلّيكِ هون,stay here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15321,5allike hon,khallike hon,خلّيكِ هون,stay here,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15322,khallike ta7et,khallike ta7et,خلّيكِ تحت,stay downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15323,5allike ta7et,khallike ta7et,خلّيكِ تحت,stay downstairs,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15324,khallina n2ajjel shway,khallina n2ajjel shway,خلينا نأجّل شوي,let us postpone a little,daily_phrases,phrase,phrase,Expansion Round 2; reusable phrase frame,high
15325,khallina n2arrir ba3den,khallina n2arrir ba3den,خلينا نقرّر بعدين,let us decide later,daily_phrases,phrase,phrase,Expansion Round 2; reusable phrase frame,high
15326,khallina nehke ba3den,khallina ne7ke ba3den,خلينا نحكي بعدين,let us talk later,daily_phrases,phrase,spelling_variant,Expansion Round 2; reusable phrase frame,high
15327,5allina ne7ke ba3den,khallina ne7ke ba3den,خلينا نحكي بعدين,let us talk later,daily_phrases,phrase,spelling_variant,Expansion Round 2; reusable phrase frame,high
15328,khallina njarrib,khallina njarreb,خلينا نجرّب,let us try,daily_phrases,phrase,spelling_variant,Expansion Round 2; reusable phrase frame,high
15329,khallina nshouf,khallina nshouf,خلّينا نشوف,let us see,daily_phrases,phrase,phrase,Expansion Round 2; reusable phrase frame,high
15330,khallina nchouf,khallina nshouf,خلينا نشوف,let us see,daily_phrases,phrase,spelling_variant,Expansion Round 2; reusable phrase frame,high
15331,khalliya 3a ba3den,khalliya 3a ba3den,خلّيها ع بعدين,leave it for later,daily_phrases,phrase,phrase,Expansion Round 2; reusable phrase frame,high
15332,khalliya honeek,khalliya honeek,خلّيها هونيك,leave it there,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15333,khalliha hounik,khalliya honeek,خلّيها هونيك,leave it there,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15334,kharben,kharben,خربان,broken,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15335,kharbene,kharbene,خربانة,broken,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15336,khaybeh,khaybe,خايبة,bad,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15337,khaybe,khaybe,خايبة,bad/not good,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description; feminine,high
15338,khaybi,khaybe,خايبة,bad/not good,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description; feminine,high
15339,khayeb,khayeb,خايب,bad/not good,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description; masculine/general,high
15340,khayib,khayeb,خايب,bad/not good,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description; masculine/general,high
15341,khde barra,khde barra,خدي برا,take outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15342,5de barra,khde barra,خدي برا,take outside,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15343,khde fo2,khde fo2,خدي فوق,take upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15344,5de fo2,khde fo2,خدي فوق,take upstairs,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15345,khde hon,khde hon,خدي هون,take here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15346,5de hon,khde hon,خدي هون,take here,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15347,khde ta7et,khde ta7et,خدي تحت,take downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15348,5de ta7et,khde ta7et,خدي تحت,take downstairs,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15349,khde wa2tik,khde wa2tik,خدي وقتِك,take your time,daily_phrases,phrase,phrase,Expansion Round 2; reusable phrase frame,high
15350,kheyib,kheyib,خايب,bad,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,medium
15351,khod barra,khod barra,خد برا,take outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15352,5od barra,khod barra,خد برا,take outside,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15353,khod fo2,khod fo2,خد فوق,take upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15354,5od fo2,khod fo2,خد فوق,take upstairs,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15355,khod hon,khod hon,خد هون,take here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15356,5od hon,khod hon,خد هون,take here,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15357,khod l aghrad,khod l aghrad,خد الغراض,take the things/items,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15358,5od l aghrad,khod l aghrad,خد الغراض,take the things/items,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15359,khod l gharad,khod l gharad,خد الغرض,take the item,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15360,5od l gharad,khod l gharad,خد الغرض,take the item,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15361,khod l shanta,khod l shanta,خد الشنطة,take the bag,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15362,5od l shanta,khod l shanta,خد الشنطة,take the bag,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15363,khod l wara2a,khod l wara2a,خد الورقة,take the paper,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15364,5od l wara2a,khod l wara2a,خد الورقة,take the paper,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15365,khod ta7et,khod ta7et,خد تحت,take downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15366,5od ta7et,khod ta7et,خد تحت,take downstairs,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15367,kilo wa7ad,kilo wa7ad,كيلو واحد,one kilo,daily_phrases,phrase,phrase,Expansion Round 2; quantity phrase,high
15368,kilo wahad,kilo wa7ad,كيلو واحد,one kilo,daily_phrases,phrase,spelling_variant,Expansion Round 2; quantity phrase,high
15369,ktar 3layye,ktar 3layye,كتار عليي,they are too many for me,daily_phrases,phrase,phrase,Expansion Round 2; quantity phrase,high
15370,l 2ossa sa3be,l 2ossa sa3be,القصة صعبة,the situation is hard,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15371,l 7ake ghalat,l 7ake ghalat,الحكي غلط,what was said is wrong,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15372,l 7ake sa7,l 7ake sa7,الحكي صح,what was said is right,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15373,l aghrad,l aghrad,الغراض,the things/items,daily_phrases,noun,base_word,Expansion Round 2; common object noun/code-switching item,high
15374,el aghrad,l aghrad,الغراض,the things/items,daily_phrases,noun,spelling_variant,Expansion Round 2; common object noun/code-switching item,high
15375,l fekra 7elwe,l fekra 7elwe,الفكرة حلوة,the idea is nice,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15376,l gharad,l gharad,الغرض,the item,daily_phrases,noun,base_word,Expansion Round 2; common object noun/code-switching item,high
15377,el gharad,l gharad,الغرض,the item,daily_phrases,noun,spelling_variant,Expansion Round 2; common object noun/code-switching item,high
15378,l ghrafa fadye,l ghrafa fadye,الغرفة فاضية,the room is empty,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15379,l ghrafa melyene,l ghrafa melyene,الغرفة مليانة,the room is full,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15380,l jaw 7elo,l jaw 7elo,الجو حلو,the vibe is nice,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15381,l mahal mratab,l mahal mratab,المحل مرتّب,the place is neat,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15382,l mawdoo3 mesh sahl,l mawdoo3 mesh sahl,الموضوع مش سهل,the matter is not easy,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15383,l mawdoo3 sa3eb,l mawdoo3 sa3eb,الموضوع صعب,the matter is hard,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15384,l mawdoo3 sahl,l mawdoo3 sahl,الموضوع سهل,the matter is easy,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15385,l shanta,l shanta,الشنطة,the bag,daily_phrases,noun,base_word,Expansion Round 2; common object noun/code-switching item,high
15386,el shanta,l shanta,الشنطة,the bag,daily_phrases,noun,spelling_variant,Expansion Round 2; common object noun/code-switching item,high
15387,l shi khafif,l shi khafif,الشي خفيف,the thing is light,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15388,l shi mesh mnih,l shi mesh mnih,الشي مش منيح,the thing is not good,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15389,l shi mnih,l shi mnih,الشي منيح,the thing is good,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15390,l shi t2il,l shi t2il,الشي تقيل,the thing is heavy,daily_phrases,phrase,phrase,Expansion Round 2; adjective/collocation,high
15391,l wara2a,l wara2a,الورقة,the paper,daily_phrases,noun,base_word,Expansion Round 2; common object noun/code-switching item,high
15392,el wara2a,l wara2a,الورقة,the paper,daily_phrases,noun,spelling_variant,Expansion Round 2; common object noun/code-switching item,high
15393,law fik,law fik,لو فيك,if you can,daily_phrases,phrase,phrase,Expansion Round 2; connector/ability phrase masculine,high
15394,law fiyye,law fiyye,لو فيي,if I can,daily_phrases,phrase,phrase,Expansion Round 2; connector/ability phrase,high
15395,lezem ne7ke,lezem ne7ke,لازم نحكي,we need to talk,daily_phrases,phrase,phrase,Expansion Round 2; reusable phrase frame,high
15396,lazem ne7ke,lezem ne7ke,لازم نحكي,we need to talk,daily_phrases,phrase,spelling_variant,Expansion Round 2; reusable phrase frame,high
15397,m2allbe,m2allbe,مقلّبة,messy/off,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15398,m2albe,m2allbe,مقلّبة,messy/off,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15399,m2alleb,m2alleb,مقلّب,messy/off,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15400,m2aleb,m2alleb,مقلّب,messy/off,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15401,m3attale,m3attale,معطّلة,not working,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15402,m3attla,m3attla,معطّلة,not working,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15403,ma 3ande location,ma 3ande location,ما عندي لوكيشن,I do not have a location,daily_phrases,phrase,negation,Expansion Round 2; reusable phrase frame,high
15404,ma ba2a,ma ba2a,ما بقا,no longer,daily_phrases,phrase,phrase,Expansion Round 2; quantity phrase,high
15405,ma baddi a3azzbak,ma baddi a3azzbak,ما بدي عذّبك,I do not want to bother you,daily_phrases,phrase,negation,Expansion Round 2; reusable phrase frame,high
15406,ma baddi tawwel 3layk,ma baddi tawwel 3layk,ما بدي طوّل عليك,I do not want to take too much of your time,daily_phrases,phrase,negation,Expansion Round 2; reusable phrase frame,high
15407,ma btemshe hek,ma btemshe hek,ما بتمشي هيك,it does not work like this,daily_phrases,phrase,negation,Expansion Round 2; reusable phrase frame,high
15408,ma ele 3le2a,ma ele 3le2a,ما إلي علاقة,it has nothing to do with me,daily_phrases,phrase,negation,Expansion Round 2; reusable phrase frame,high
15409,ma khallina ntawwel,ma khallina ntawwel,ما خلينا نطوّل,let us not take too long,daily_phrases,phrase,negation,Expansion Round 2; reusable phrase frame,high
15410,ma ktir,ma ktir,ما كتير,not much,daily_phrases,phrase,negation,Expansion Round 2; quantity/adverb,high
15411,ma test3ajle,ma test3ajle,ما تستعجلي,do not rush,daily_phrases,phrase,negation,Expansion Round 2; reusable phrase frame,high
15412,ma test3jel,ma test3jel,ما تستعجل,do not rush,daily_phrases,phrase,negation,Expansion Round 2; reusable phrase frame,high
15413,ma tkhallih la ba3den,ma tkhallih la ba3den,ما تخلّيه لبعدين,do not leave it for later,daily_phrases,phrase,negation,Expansion Round 2; reusable phrase frame,high
15414,ma tkhalliya la ba3den,ma tkhalliya la ba3den,ما تخلّيها لبعدين,do not leave it for later,daily_phrases,phrase,negation,Expansion Round 2; reusable phrase frame,high
15415,ma3na hek,ma3na hek,معنا هيك,it means this,daily_phrases,phrase,phrase,Expansion Round 2; reusable phrase frame,high
15416,malyen,malyen,مليان,full,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15417,malyene,malyene,مليانة,full,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description; feminine,high
15418,mashghoule,mashghoule,مشغولة,busy,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15419,melen,melen,مليان,full,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15420,melyene,melyene,مليانة,full,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15421,men l ekhir,men l ekhir,من الآخر,in short,daily_phrases,adverb,base_word,Expansion Round 2; intensifier/adverb,high
15422,mn l ekhir,men l ekhir,من الآخر,in short,daily_phrases,adverb,spelling_variant,Expansion Round 2; intensifier/adverb,high
15423,mesh hayda l ma2soud,mesh hayda l ma2soud,مش هيدا المقصود,that is not what is meant,daily_phrases,phrase,phrase,Expansion Round 2; reusable phrase frame,high
15424,mesh hek l 2ossa,mesh hek l 2ossa,مش هيك القصة,that is not how it is,daily_phrases,phrase,phrase,Expansion Round 2; reusable phrase frame,high
15425,meste3jel,meste3jel,مستعجل,in a hurry,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15426,meste3jle,meste3jle,مستعجلة,in a hurry,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15427,metel ma baddek,metel ma baddek,متل ما بدك,as you want,daily_phrases,adverb,base_word,Expansion Round 2; intensifier/adverb,high
15428,mezbout,mezbout,مظبوط,right/working,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15429,mazbout,mezbout,مظبوط,right/working,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15430,mezbouta,mezbouta,مظبوطة,right/working,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15431,mazbouta,mezbouta,مظبوطة,right/working,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15432,mhem,mhem,مهم,important,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15433,mhemme,mhemme,مهمة,important,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15434,mish 2adde,mish 2adde,مش قدّي,not that much,daily_phrases,phrase,phrase,Expansion Round 2; reusable phrase frame,high
15435,mishen hek,mishen hek,مشان هيك,that is why,daily_phrases,phrase,phrase,Expansion Round 2; connector phrase,high
15436,mkassra,mkassra,مكسّرة,broken,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15437,mkasra,mkassra,مكسّرة,broken,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15438,mratab,mratab,مرتّب,neat,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15439,mratbe,mratbe,مرتّبة,neat,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15440,nashfe,nashfe,ناشفة,dry,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15441,nashif,nashif,ناشف,dry,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15442,nazzil barra,nazzil barra,نزّل برا,bring down/download outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15443,nazzil fo2,nazzil fo2,نزّل فوق,bring down/download upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15444,nazzil hon,nazzil hon,نزّل هون,bring down/download here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15445,nazzil ta7et,nazzil ta7et,نزّل تحت,bring down/download downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15446,nazzle barra,nazzle barra,نزّلي برا,bring down/download outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15447,nazzle fo2,nazzle fo2,نزّلي فوق,bring down/download upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15448,nazzle hon,nazzle hon,نزّلي هون,bring down/download here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15449,nazzle ta7et,nazzle ta7et,نزّلي تحت,bring down/download downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15450,nuss nuss,noss noss,نص نص,so-so,daily_phrases,adverb,spelling_variant,Expansion Round 2; intensifier/adverb,high
15451,noss se3a,noss se3a,نص ساعة,half an hour,daily_phrases,phrase,phrase,Expansion Round 2; quantity phrase,high
15452,nos se3a,noss se3a,نص ساعة,half an hour,daily_phrases,phrase,spelling_variant,Expansion Round 2; quantity phrase,high
15453,ntor barra,ntor barra,نطر برا,wait outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15454,ntor fo2,ntor fo2,نطر فوق,wait upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15455,ntor hon,ntor hon,نطر هون,wait here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15456,ntor shway,ntor shway,نطر شوي,wait a little,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15457,ntor shwe,ntor shway,نطر شوي,wait a little,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15458,ntor ta7et,ntor ta7et,نطر تحت,wait downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15459,ntre barra,ntre barra,نطري برا,wait outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15460,ntre fo2,ntre fo2,نطري فوق,wait upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15461,ntre hon,ntre hon,نطري هون,wait here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15462,ntre ta7et,ntre ta7et,نطري تحت,wait downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15463,pls ba3atle,please ba3atle,بليز بعتلي,please send me,daily_phrases,phrase,spelling_variant,Expansion Round 2; noisy texting variant,high
15464,plz ba3atle,please ba3atle,بليز بعتلي,please send me,daily_phrases,phrase,spelling_variant,Expansion Round 2; noisy texting variant,high
15465,ridd barra,ridd barra,رد برا,answer/reply outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15466,ridd fo2,ridd fo2,رد فوق,answer/reply upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15467,ridd hon,ridd hon,رد هون,answer/reply here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15468,ridd ta7et,ridd ta7et,رد تحت,answer/reply downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15469,ridde barra,ridde barra,ردي برا,answer/reply outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15470,ridde fo2,ridde fo2,ردي فوق,answer/reply upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15471,ridde hon,ridde hon,ردي هون,answer/reply here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15472,ridde ta7et,ridde ta7et,ردي تحت,answer/reply downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15473,rekhis,rkhis,رخيص,cheap,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15474,rekhise,rkhise,رخيصة,cheap,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15475,sa3be,sa3be,صعبة,hard,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15476,sa3bi,sa3be,صعبة,hard,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15477,s3eb,sa3eb,صعب,hard,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15478,sa3eb,sa3eb,صعب,hard/difficult,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15479,sa3ib,sa3eb,صعب,hard/difficult,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15480,sa7,sa7,صح,correct/right,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15481,sah,sa7,صح,correct/right,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15482,sahl,sahl,سهل,easy,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15483,sahel,sahl,سهل,easy,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15484,sahle,sahle,سهلة,easy,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15485,sahli,sahle,سهلة,easy,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15486,sakkir barra,sakkir barra,سكّر برا,close outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15487,sakkir fo2,sakkir fo2,سكّر فوق,close upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15488,sakkir hon,sakkir hon,سكّر هون,close here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15489,sakkir ta7et,sakkir ta7et,سكّر تحت,close downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15490,sari3a,sari3a,سريعة,fast,daily_phrases,adjective,base_word,Expansion Round 2; adjective/description,high
15491,saree3a,sari3a,سريعة,fast,daily_phrases,adjective,spelling_variant,Expansion Round 2; adjective/description,high
15492,shil l aghrad,shil l aghrad,شيل الغراض,remove/take away the things/items,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15493,sheel l aghrad,shil l aghrad,شيل الغراض,remove/take away the things/items,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15494,shil l gharad,shil l gharad,شيل الغرض,remove/take away the item,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15495,sheel l gharad,shil l gharad,شيل الغرض,remove/take away the item,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15496,shil l shanta,shil l shanta,شيل الشنطة,remove/take away the bag,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15497,sheel l shanta,shil l shanta,شيل الشنطة,remove/take away the bag,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15498,shil l wara2a,shil l wara2a,شيل الورقة,remove/take away the paper,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15499,sheel l wara2a,shil l wara2a,شيل الورقة,remove/take away the paper,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15500,shile barra,shile barra,شيلي برا,remove/carry outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15501,shile fo2,shile fo2,شيلي فوق,remove/carry upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15502,shile hon,shile hon,شيلي هون,remove/carry here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15503,shile ta7et,shile ta7et,شيلي تحت,remove/carry downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15504,shway may,shway may,شوي مي,a little water,daily_phrases,phrase,phrase,Expansion Round 2; quantity phrase,high
15505,shwei may,shway may,شوي مي,a little water,daily_phrases,phrase,spelling_variant,Expansion Round 2; quantity phrase,high
15506,shway shway,shway shway,شوي شوي,slowly/little by little,daily_phrases,phrase,phrase,Expansion Round 2; micro-phrase/reply,high
15507,shway wa2et,shway wa2et,شوي وقت,a little time,daily_phrases,phrase,phrase,Expansion Round 2; quantity phrase,high
15508,shwei wa2et,shway wa2et,شوي وقت,a little time,daily_phrases,phrase,spelling_variant,Expansion Round 2; quantity phrase,high
15509,shwayye,shwayye,شويّة,a little bit,daily_phrases,adverb,base_word,Expansion Round 2; quantity/adverb,high
15510,stanna barra,stanna barra,إستنّى برا,wait outside,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15511,stanna fo2,stanna fo2,إستنّى فوق,wait upstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15512,stanna hon,stanna hon,إستنّى هون,wait here,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
15513,stana shway,stanna shway,استنى شوي,wait a little,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15514,stanna shwe,stanna shway,استنى شوي,wait a little,daily_phrases,phrase,spelling_variant,Expansion Round 2; command/request,high
15515,stanna ta7et,stanna ta7et,إستنّى تحت,wait downstairs,daily_phrases,phrase,phrase,Expansion Round 2; command/request,high
